dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
MNIST,0,LIF,20,0,3.5903297910117544,LeNet,3.452522792009404
MNIST,0,ParaLIF,20,0,3.5082152919785585,LeNet,3.452522792009404
MNIST,0,LIF,20,1,7.00362312499783,LeNet,3.452522792009404
MNIST,0,ParaLIF,20,1,4.150787709018914,LeNet,3.452522792009404
MNIST,0,LIF,20,2,10.306104249990312,LeNet,3.452522792009404
MNIST,0,ParaLIF,20,2,5.6811821250012144,LeNet,3.452522792009404
MNIST,0,LIF,20,3,14.43908716700389,LeNet,3.452522792009404
MNIST,0,ParaLIF,20,3,6.458293250005227,LeNet,3.452522792009404
MNIST,0,LIF,30,0,3.731350707996171,LeNet,3.452522792009404
MNIST,0,ParaLIF,30,0,3.3736811660055537,LeNet,3.452522792009404
MNIST,0,LIF,30,1,9.381635042023845,LeNet,3.452522792009404
MNIST,0,ParaLIF,30,1,6.046389249997446,LeNet,3.452522792009404
MNIST,0,LIF,30,2,14.880090874998132,LeNet,3.452522792009404
MNIST,0,ParaLIF,30,2,8.126921249990119,LeNet,3.452522792009404
MNIST,0,LIF,30,3,20.23716816699016,LeNet,3.452522792009404
MNIST,0,ParaLIF,30,3,9.322846625000238,LeNet,3.452522792009404
MNIST,0,LIF,50,0,4.262671499978751,LeNet,3.452522792009404
MNIST,0,ParaLIF,50,0,3.823449374991469,LeNet,3.452522792009404
MNIST,0,LIF,50,1,13.31696829199791,LeNet,3.452522792009404
MNIST,0,ParaLIF,50,1,10.396787540987134,LeNet,3.452522792009404
MNIST,0,LIF,50,2,21.931016666989308,LeNet,3.452522792009404
MNIST,0,ParaLIF,50,2,14.607589291990735,LeNet,3.452522792009404
MNIST,0,LIF,50,3,31.761872667004354,LeNet,3.452522792009404
MNIST,0,ParaLIF,50,3,16.435117249988252,LeNet,3.452522792009404
MNIST,0,LIF,100,0,6.144402082980378,LeNet,3.452522792009404
MNIST,0,ParaLIF,100,0,3.6142903750005644,LeNet,3.452522792009404
MNIST,0,LIF,100,1,24.608509416982997,LeNet,3.452522792009404
MNIST,0,ParaLIF,100,1,20.556913459004136,LeNet,3.452522792009404
MNIST,0,LIF,100,2,42.96020075000706,LeNet,3.452522792009404
MNIST,0,ParaLIF,100,2,28.335081041994272,LeNet,3.452522792009404
MNIST,0,LIF,100,3,59.96081404198776,LeNet,3.452522792009404
MNIST,0,ParaLIF,100,3,31.837663708021864,LeNet,3.452522792009404
MNIST,1,LIF,5,0,2.7048288749938365,LeNet,3.0805517499975394
MNIST,1,ParaLIF,5,0,3.0297161669877823,LeNet,3.0805517499975394
MNIST,1,LIF,5,1,3.6611012080102228,LeNet,3.0805517499975394
MNIST,1,ParaLIF,5,1,3.092058000009274,LeNet,3.0805517499975394
MNIST,1,LIF,5,2,4.613970665988745,LeNet,3.0805517499975394
MNIST,1,ParaLIF,5,2,3.413307665992761,LeNet,3.0805517499975394
MNIST,1,LIF,5,3,5.682335541991051,LeNet,3.0805517499975394
MNIST,1,ParaLIF,5,3,3.9368939580162987,LeNet,3.0805517499975394
MNIST,1,LIF,10,0,3.188454040995566,LeNet,3.0805517499975394
MNIST,1,ParaLIF,10,0,3.2933091669983696,LeNet,3.0805517499975394
MNIST,1,LIF,10,1,5.076073624979472,LeNet,3.0805517499975394
MNIST,1,ParaLIF,10,1,3.3695355000090785,LeNet,3.0805517499975394
MNIST,1,LIF,10,2,6.620371958008036,LeNet,3.0805517499975394
